test_r2_score,test_r2,test_mean_squared_error,test_mean_absolute_error,test_mean_absolute_percentage_error,test_median_absolute_error,avg_test_r2_score,avg_test_r2,avg_test_mean_squared_error,avg_test_mean_absolute_error,avg_test_mean_absolute_percentage_error,avg_test_median_absolute_error,province,imputation,data_size
0.128,0.5823,112.4353,7.7682,55.8894,5.5821,0.2558,0.7331,60.1868,5.7454,36.1196,3.6537,Mukdahan,no impute,6831.0
-0.156,-0.0264,19.2491,3.3024,81.2546,2.7625,-0.3323,-0.0128,6.7725,2.148,42.0534,1.8332,Bueng Kan,no impute,8320.0
0.7175,0.8712,54.4818,5.7196,31.4252,4.7368,0.7381,0.8848,46.6656,5.3775,29.3841,4.4674,Nakhon Nayok,no impute,366.0
0.0215,0.4468,173.2229,11.1291,32.8423,10.8113,0.028999999999999998,0.5724,99.3857,7.725,21.8842,5.4832,Sakon Nakhon,no impute,3697.0
-0.5983,0.498,169.7217,7.6935,53.1,3.7731,-0.6593,0.6177,114.2918,6.2977,39.0885,3.0643,Ubon Ratchathani,no impute,18284.0
0.4507,0.6991,363.6397,13.5191,108.2535,9.4658,0.5282,0.758,232.6377,11.5871,82.6577,8.1822,Nong Khai,no impute,40160.0
0.597,0.7906,48.62,4.9619,71.3646,3.6334,0.6746,0.8395,37.3885,4.1041,48.1958,2.4483,Samut Songkhram,no impute,16741.0
0.02,0.1506,812.5762,7.8533,60.783,5.7159,0.0266,0.1722,361.0348,6.4686,43.0209,4.4178,Nakhon Si Thammarat,no impute,45541.0
0.1056,0.3794,28.8,3.9623,52.7629,3.1506,0.2088,0.4786,16.7148,3.1724,39.4555,2.6331,Nakhon Phanom,no impute,9336.0
0.2862,0.645,241.6332,12.9067,32.6276,11.2918,0.5208,0.8222,146.8403,9.7294,29.5625,9.283999999999999,Phitsanulok,no impute,5808.0
-0.6379,0.1678,26.4176,3.9365,40.8343,3.1091,-2.3375,0.3011,14.3492,3.4333,38.1685,3.3497,Trat,no impute,8733.0
0.6743,0.8458,111.0783,8.3955,47.7234,7.0755,0.7385,0.8858,77.5268,7.2901,38.8824,6.2238,Suphan Buri,no impute,37878.0
0.4681,0.6963,129.4679,8.1768,47.7089,6.0995,0.5789,0.7749,79.6554,6.5648,33.2668,4.9533,Nakhon Ratchasima,no impute,50915.0
