test_r2_score,test_r2,test_mean_squared_error,test_mean_absolute_error,test_mean_absolute_percentage_error,test_median_absolute_error,avg_test_r2_score,avg_test_r2,avg_test_mean_squared_error,avg_test_mean_absolute_error,avg_test_mean_absolute_percentage_error,avg_test_median_absolute_error,province,imputation,data_size
0.128,0.5823,112.4353,7.7682,55.8894,5.5821,0.2558,0.7331,60.1868,5.7454,36.1196,3.6537,Mukdahan,imputed,6831.0
-0.156,-0.0264,19.2491,3.3024,81.2546,2.7625,-0.3323,-0.0128,6.7725,2.148,42.0534,1.8332,Bueng Kan,imputed,8320.0
0.7175,0.8712,54.4818,5.7196,31.4252,4.7368,0.7381,0.8848,46.6656,5.3775,29.3841,4.4674,Nakhon Nayok,imputed,366.0
0.0215,0.4468,173.2229,11.1291,32.8423,10.8113,0.028999999999999998,0.5724,99.3857,7.725,21.8842,5.4832,Sakon Nakhon,imputed,3697.0
-4.7026,0.4451,606.7762,14.3636,101.6594,4.5198,-6.9265,0.568,542.1923,13.5063,79.9914,4.2706,Ubon Ratchathani,imputed,18284.0
0.4507,0.6991,363.6397,13.5191,108.2535,9.4658,0.5282,0.758,232.6377,11.5871,82.6577,8.1822,Nong Khai,imputed,40160.0
0.597,0.7906,48.62,4.9619,71.3646,3.6334,0.6746,0.8395,37.3885,4.1041,48.1958,2.4483,Samut Songkhram,imputed,16741.0
0.02,0.1506,812.5762,7.8533,60.783,5.7159,0.0266,0.1722,361.0348,6.4686,43.0209,4.4178,Nakhon Si Thammarat,imputed,45541.0
0.0374,0.32799999999999996,30.9782,4.0266,53.4322,3.0655,0.141,0.4299,18.0877,3.2069,39.215,2.7532,Nakhon Phanom,imputed,9336.0
0.2862,0.645,241.6332,12.9067,32.6276,11.2918,0.5208,0.8222,146.8403,9.7294,29.5625,9.283999999999999,Phitsanulok,imputed,5808.0
-0.6379,0.1678,26.4176,3.9365,40.8343,3.1091,-2.3375,0.3011,14.3492,3.4333,38.1685,3.3497,Trat,imputed,8733.0
0.6743,0.8458,111.0783,8.3955,47.7234,7.0755,0.7385,0.8858,77.5268,7.2901,38.8824,6.2238,Suphan Buri,imputed,37878.0
0.4927,0.7164,122.8359,8.0019,46.8378,5.9842,0.6128,0.7993,72.5766,6.2782,31.9518,5.0316,Nakhon Ratchasima,imputed,50915.0
