feature,10t,11t,12t,50t,53t,54t,59t,61t,02t,52t,08t,13t,05t,22t,03t,18t,81t,27t,14t,20t,19t
time_of_day,0.27784652186859593,0.1332869388809627,0.06081358803455761,0.0941585551367893,0.05592002805323958,0.06510721615015921,0.1502765620305266,0.22547271654878875,0.10025562614621158,0.06806086291854822,0.12438919713546737,0.08804247294309839,0.16772911662095194,0.23969204285882512,0.1408755039802485,0.09394940412114228,0.18945134372274086,0.06486177534864407,0.11885799245288044,0.1720493662382054,0.11154289105497868
wind_S,0.14657568482545003,0.09558824078686472,0.13124481036778834,0.10787518165482828,0.257767098438296,0.24132832310814106,0.19718359701320526,0.15027783518530782,0.2958289521656531,0.196684576894999,0.16926485352429976,0.18444993626680728,0.2455812479943,0.04654252303669066,0.07295650886485798,0.20308088923004458,0.09691951472738934,0.3361383439787696,0.05463542766495897,0.06721007339684085,0.17775755832066287
Wind_Speed(kmph),0.1173079332940584,0.14799214803789815,0.11125070905955087,0.08371327977886332,0.0795991950931683,0.07440323685453687,0.17644507368999446,0.14794370049226754,0.09090739546267744,0.13197610451209707,0.07711716241136342,0.14033598553081983,0.11011967179927669,0.17308098171729958,0.17376087408710317,0.08476880093552466,0.03905055509258844,0.033789053723375866,0.18659788489467605,0.07331383211121065,0.03806579360092999
wind_N,0.08852429920994906,0.05843615372704726,0.13581795689910733,0.05539430726613293,0.20257036932756356,0.1396811067050731,0.09193773918138991,0.08277331065172035,0.17246417585092508,0.1110102246442338,0.08982889356860894,0.05812878130300291,0.11898091920476038,0.03936626020647634,0.07930187909221009,0.14246572406598118,0.07700824999280036,0.18445549568258257,0.03603125239376428,0.053289968339215905,0.1519719123768969
fire_200_400,0.050472427788803655,0.09665722700512609,0.06253674301439635,0.049602375979171186,0.04341318450008018,0.042499628917057566,0.042209831372586805,0.06583361074554107,0.027281882580534704,0.08532545977127631,0.08228790614650544,0.04705061844251455,0.04523962902680576,0.047481804858769884,0.03973098092076643,0.06646556741531423,0.029897735369551016,0.05132195669751359,0.06711522229776547,0.08961629542367053,0.05763539622504637
fire_400_600,0.050420985552494614,0.051129586412329044,0.08569003292356296,0.07051026721922733,0.04902283999081591,0.06660032184035597,0.043372634651147296,0.04066134262942607,0.02240441493116494,0.055538867275220685,0.09560749781287717,0.037793727639537845,0.03335263334593848,0.05548763096961061,0.07377821382274918,0.06479350855739467,0.022479269612200013,0.055599909207496946,0.05346217664056739,0.053603286301960894,0.0813647416053891
traffic_index,0.04671973428081106,0.06524200022100664,0.05153772582903583,0.04346074002067546,0.04127561470691458,0.06277192146468333,0.04741006548400503,0.058558958813196546,0.041852427673207016,0.04195688446102462,0.05045064736092569,0.051268735475809527,0.051586160056089125,0.06302638994369432,0.07316986451883768,0.06817330737215463,0.05254317919456057,0.03284734912654711,0.0805996424430305,0.051443753766224315,0.05791114722053766
wind_E,0.04623980917411551,0.112997380569544,0.09697256608082153,0.03601174790744808,0.04800849959332697,0.06678444612175342,0.03932695837769747,0.04632952064998035,0.0492991637868371,0.05347021288559863,0.0436293118764046,0.06824864925576751,0.04517545093539819,0.08860056773199972,0.03339162505071194,0.036380067086176957,0.23846897106692122,0.034429089145553364,0.08094027824631128,0.054472592893192284,0.063729044628137
fire_100_200,0.03626145003782336,0.036840827222749305,0.06649952212487122,0.03616768347716289,0.03115999669903824,0.03827607059665672,0.04632408149478649,0.03158644832608793,0.0520039696263836,0.029733533580465155,0.07023083739674488,0.07389089640412876,0.030220090138528454,0.06603499572431604,0.067787204197429,0.04258950129017655,0.0847739421915249,0.031181498404471004,0.09052532081644835,0.1219384603366575,0.0469305696946134
fire_600_800,0.030682099801137397,0.047545175609121845,0.0398993912420543,0.08493234988335867,0.03372103390260996,0.0480192742335654,0.03411925781761573,0.04136905438721462,0.019839015638354083,0.052902329550144615,0.04974772839410549,0.04988347962301,0.0365087206036412,0.0368058074287492,0.05339863345824547,0.03493300282546897,0.020436664587174413,0.03423564408148259,0.049050773676842255,0.055378369172498006,0.05409925739200664
