feature,10t,11t,50t,53t,59t,61t,54t,02t,52t,08t,05t,03t,18t,27t,14t,20t,19t
fire_100_200,0.18950071943101232,0.2300049108697394,0.1934596965258787,0.2133038670974167,0.17511973300382833,0.21908191108805594,0.16789112469678652,0.2509821535957155,0.1599442472489969,0.20372453321005565,0.19429151816932594,0.15516133474793503,0.17266565923666882,0.0934073489107764,0.2645309366940469,0.2344347113462946,0.1503502078118707
wind_S,0.1431023174711862,0.11769813771581186,0.12600152221728017,0.1309304224533835,0.10756559066434133,0.14399039060077873,0.1260987132567451,0.06539107542404035,0.16832459310005474,0.12172559451064993,0.14616593691502686,0.10374959960035295,0.10560850969881698,0.2714098429454658,0.09779324736917229,0.07785320582308257,0.1360779496761326
wind_N,0.12057145540954432,0.08780229543528478,0.08758765215867037,0.07609273180004955,0.07449811937276651,0.07055426898032228,0.07650878638510494,0.05419475520014016,0.10973564096276642,0.07238396548618534,0.09984532422647258,0.05126827941605022,0.08233362012376602,0.15549999988643967,0.04123193917257303,0.048260634186966314,0.0886772324039465
fire_400_600,0.10978618189250654,0.07066338507669077,0.11995524833491716,0.07994789928884576,0.10401440735592533,0.10381931256163116,0.09274035922961298,0.06945399449714999,0.091028303780217,0.07874176004295934,0.0872771749692442,0.08920570303930633,0.05378454104454089,0.08036840280244666,0.07395153139555331,0.09611161868591636,0.12122936635790718
fire_800_1000,0.07876107567161805,0.10044490596638868,0.08612356747223042,0.06325916699646905,0.07495579022081159,0.07500356342837014,0.057366609404389146,0.12272411191047261,0.10318292509003602,0.10837859425103437,0.09533055705783898,0.08771130878982183,0.100904527530179,0.04383359968399278,0.08934712139846834,0.07864020005465305,0.08939661272706644
Wind_Speed(kmph),0.06515070862931203,0.07255633800136906,0.06867552148239808,0.09097124468897683,0.06298542785110219,0.06108385350554856,0.08610034938967287,0.044626418157526,0.06215872054844701,0.06976702879001806,0.053057205807745554,0.1493187775965462,0.05058261728532265,0.06856297419469778,0.0616322629248808,0.08337690207971349,0.04313220101269838
fire_600_800,0.055209221721873605,0.04387663006930812,0.05129661312784811,0.0487800702609249,0.05543854181134626,0.03834658564605043,0.045692799067736614,0.05117083558192358,0.05400374715704435,0.051641608328303674,0.042086720499708345,0.044801902328526245,0.0755221287438034,0.034399050946642626,0.0686590842649779,0.05754416775449151,0.07799746578776283
wind_E,0.05281482526073254,0.059508200056726905,0.046231974621921475,0.043505876135261405,0.03037528389386591,0.02169578865361045,0.03498430347833598,0.08486686132126738,0.030028449362870784,0.024751626172696425,0.03640597110299528,0.025912252108423642,0.10519302182949282,0.021173302697232253,0.05078642409048124,0.07063065689797965,0.042559063947283385
fire_200_400,0.04184037519154946,0.09485373981035872,0.06732303403258541,0.0988207928465747,0.10823048527582681,0.09098129151941153,0.08820584393052289,0.14896845303088085,0.06402724512984603,0.09930786976191933,0.07815596884695025,0.07608547779594999,0.06786482958549316,0.04298035437003619,0.0965101713257198,0.10074448712716266,0.06392165283288823
fire_0_100,0.034003516275251416,0.02972351191771753,0.032851205122467475,0.036043550264132494,0.04474151115660003,0.03534768672160122,0.043479762575062246,0.028432904609095838,0.029979521323849616,0.03593901389948814,0.03273819615085681,0.03830227455800912,0.04611692910544693,0.02144776069029198,0.03397578493021254,0.027415427562943087,0.042250307009086156
