index,importance
fire_800_1000,0.2397174774194368
fire_400_800,0.19993905685076385
fire_0_100,0.12461196350223756
Temperature(C),0.09031213459628827
fire_100_200,0.05845426655331852
Humidity(%),0.05312620335303742
fire_200_400,0.04541182038834905
month_3,0.0305644757517437
month_1,0.029748017294650347
month_4,0.02006812642450171
day_of_week,0.019689099927640986
Wind_Speed(kmph),0.01770307545683644
is_holiday,0.010148571960763006
month_6,0.007988437241681932
wind_S,0.005104260781764543
wind_E,0.004717561113214521
is_rain,0.003799579890600825
is_weekend,0.0034598056609534368
"time_of_day_[10, 12)",0.0033485786845663295
month_7,0.0033008563374411328
"time_of_day_[20, 22)",0.0032612376765104255
"time_of_day_[22, 24)",0.0027645644807273552
"time_of_day_[8, 10)",0.002739926005010422
"time_of_day_[12, 14)",0.002616290925288477
"time_of_day_[0, 2)",0.0025315498864666606
"time_of_day_[6, 8)",0.002386988503172179
"time_of_day_[18, 20)",0.002197068997965606
wind_N,0.002103729216146887
wind_W,0.0018493686257814645
"time_of_day_[14, 16)",0.001771248304605359
"time_of_day_[2, 4)",0.001420364994679592
"time_of_day_[4, 6)",0.0012395745541580743
"time_of_day_[16, 18)",0.001077294112705018
wind_CALM,0.000756437922641852
month_12,7.09866043503839e-05
month_9,0.0
month_11,0.0
month_8,0.0
