x,y
11718926.400324948,2116517.977267514
11717545.110224739,2160471.3409380335
11713406.691245083,2204251.240762527
11706527.47583503,2247684.897477521
11696934.61311499,2290600.8982829126
11684665.961731555,2332829.873329977
11669769.940446723,2374205.1641467884
11652305.337051162,2414563.481363065
11632341.076355653,2453745.5491387146
11609955.948176358,2491596.733752812
11585238.296387412,2527967.653872245
11558285.670268001,2562714.770091597
11529204.439519936,2595700.951417596
11498109.37447503,2626796.016462502
11465123.19314903,2655877.2472105664
11430376.07692968,2682829.873329977
11394005.156810246,2707547.5251189247
11356153.972196149,2729932.6532982187
11316971.904420499,2749896.9139937274
11276613.587204223,2767361.51738929
11235238.296387412,2782257.5386741217
11193009.321340347,2794526.1900575557
11150093.320534956,2804119.052777596
11106659.663819961,2810998.2681876486
11062879.763995467,2815136.687167304
11018926.400324948,2816517.977267514
10974973.03665443,2815136.687167304
10931193.136829935,2810998.2681876486
10887759.48011494,2804119.052777596
10844843.47930955,2794526.1900575557
10802614.504262485,2782257.5386741217
10761239.213445673,2767361.51738929
10720880.896229398,2749896.9139937274
10681698.828453748,2729932.6532982183
10643847.64383965,2707547.5251189247
10607476.723720217,2682829.873329977
10572729.607500866,2655877.2472105664
10539743.426174866,2626796.016462502
10508648.36112996,2595700.951417596
10479567.130381895,2562714.7700915965
10452614.504262485,2527967.6538722455
10427896.852473538,2491596.733752812
10405511.724294243,2453745.5491387146
10385547.463598734,2414563.4813630646
10368082.860203173,2374205.1641467884
10353186.838918341,2332829.873329977
10340918.187534906,2290600.8982829126
10331325.324814865,2247684.897477521
10324446.109404813,2204251.2407625266
10320307.690425158,2160471.340938033
10318926.400324948,2116517.977267514
10320307.690425158,2072564.6135969947
10324446.109404813,2028784.7137725009
10331325.324814865,1985351.0570575066
10340918.187534906,1942435.0562521154
10353186.838918341,1900206.0812050505
10368082.860203173,1858830.790388239
10385547.463598734,1818472.4731719631
10405511.724294243,1779290.4053963132
10427896.852473538,1741439.2207822162
10452614.504262485,1705068.3006627825
10479567.130381895,1670321.184443431
10508648.36112996,1637335.003117432
10539743.426174866,1606239.938072526
10572729.607500866,1577158.7073244615
10607476.723720217,1550206.081205051
10643847.64383965,1525488.4294161033
10681698.828453748,1503103.3012368095
10720880.896229398,1483139.0405413
10761239.213445673,1465674.437145738
10802614.504262485,1450778.4158609065
10844843.47930955,1438509.7644774723
10887759.48011494,1428916.901757432
10931193.136829935,1422037.6863473793
10974973.03665443,1417899.2673677239
11018926.400324948,1416517.977267514
11062879.763995469,1417899.2673677239
11106659.663819961,1422037.6863473793
11150093.320534956,1428916.901757432
11193009.321340347,1438509.7644774723
11235238.296387412,1450778.4158609065
11276613.587204223,1465674.4371457382
11316971.904420499,1483139.0405413003
11356153.972196149,1503103.3012368097
11394005.156810246,1525488.4294161035
11430376.07692968,1550206.081205051
11465123.19314903,1577158.7073244615
11498109.37447503,1606239.938072526
11529204.439519936,1637335.0031174321
11558285.670268001,1670321.1844434312
11585238.296387412,1705068.3006627832
11609955.948176358,1741439.2207822166
11632341.076355653,1779290.4053963132
11652305.337051162,1818472.4731719634
11669769.940446723,1858830.7903882395
11684665.961731555,1900206.0812050512
11696934.61311499,1942435.0562521159
11706527.47583503,1985351.0570575066
11713406.691245083,2028784.7137725013
11717545.110224739,2072564.6135969947
11718926.400324948,2116517.9772675144
