index,importance
fire_400_550,0.21137101845279774
wind_N,0.10305697189793046
fire_100_200,0.09328098640788297
Humidity(%),0.08905179656235547
wind_S,0.07658429109739771
Temperature(C),0.05701736435764933
is_rain,0.054964930621598795
Wind_Speed(kmph),0.05270676286554228
fire_0_100,0.05185561850386347
fire_200_400,0.04358043976385811
wind_CALM,0.03646392536942467
wind_E,0.028758330593084046
wind_W,0.015010002834858482
month_1,0.011406521643123954
month_11,0.007911265146555574
month_12,0.007318037432101671
"time_of_day_[20, 22)",0.006686159144590612
day_of_week,0.005978655828887116
"time_of_day_[18, 20)",0.005799781123024946
"time_of_day_[12, 14)",0.0050470784207030965
is_weekend,0.0037192340806072805
month_3,0.003661995674383071
month_2,0.003480174031509428
month_4,0.0030159373230097685
"time_of_day_[8, 10)",0.00297090548328453
"time_of_day_[6, 8)",0.0029228938551258375
is_holiday,0.0024819741787064876
"time_of_day_[22, 24)",0.0024472750839460776
"time_of_day_[10, 12)",0.002431573497347983
month_7,0.0018418482378303681
month_6,0.0015186605845152847
"time_of_day_[16, 18)",0.0014074814651071357
"time_of_day_[14, 16)",0.001270162430853081
"time_of_day_[0, 2)",0.0009729958493682062
month_5,0.0009197304034601954
"time_of_day_[2, 4)",0.0007435500167776247
month_8,0.0001982645558088972
month_9,0.0001454051811282673
