index,importance
fire_400_500,0.24659328654428656
Wind_Speed(kmph),0.161099880614586
fire_200_400,0.10359505167984921
fire_0_100,0.0975065971886298
fire_100_200,0.06175782066377715
wind_E,0.03886995529597154
Temperature(C),0.034430894896197314
"time_of_day_[12, 14)",0.028710349134677023
"time_of_day_[22, 24)",0.025995407301366413
wind_CALM,0.025065024247973
Humidity(%),0.024694139933501176
wind_S,0.02185694289153009
"time_of_day_[20, 22)",0.01750370882987395
wind_N,0.014442567946054124
month_1,0.011696095738460843
wind_W,0.011632576615777315
"time_of_day_[14, 16)",0.009683854128779637
"time_of_day_[10, 12)",0.009682060543408698
"time_of_day_[18, 20)",0.009045241870242329
is_weekend,0.007048686941730277
"time_of_day_[2, 4)",0.006913112630864057
"time_of_day_[0, 2)",0.006515817096610464
month_2,0.0060619041773527825
"time_of_day_[6, 8)",0.005982188547647211
"time_of_day_[4, 6)",0.005195379677357351
"time_of_day_[8, 10)",0.003751978032493387
"time_of_day_[16, 18)",0.0023842018140407175
is_holiday,0.0013971103263847446
month_3,0.0006341488597524801
month_12,0.0002540158308243016
