index,importance
fire_400_800,0.7176317249832412
fire_0_100,0.14180397562206565
fire_200_400,0.0652175752984839
Wind_Speed(kmph),0.01847386725653251
fire_100_200,0.018009152669369876
wind_E,0.012671010278700299
month_11,0.0055657007300593435
wind_CALM,0.004627796327771753
month_5,0.00358558523599717
"time_of_day_[12, 14)",0.003160726795562049
Temperature(C),0.002194521365830228
Humidity(%),0.0020591819182292897
"time_of_day_[14, 16)",0.0017756268427494733
month_4,0.0008441826052185966
"time_of_day_[22, 24)",0.0004588636958382684
month_6,0.0004134211492376498
wind_N,0.00040136117385710556
wind_W,0.00039373226704812
"time_of_day_[20, 22)",0.00031843727713475625
wind_S,0.0002620435966782491
"time_of_day_[2, 4)",5.086546919421691e-05
is_holiday,3.1238367378601656e-05
month_3,2.622242362159981e-05
"time_of_day_[8, 10)",1.144178029137118e-05
"time_of_day_[10, 12)",1.0529001932618262e-05
month_10,1.2158679761097238e-06
"time_of_day_[0, 2)",0.0
"time_of_day_[16, 18)",0.0
"time_of_day_[18, 20)",0.0
"time_of_day_[4, 6)",0.0
month_1,0.0
is_rain,0.0
month_7,0.0
