index,importance
fire_400_800,0.17602899329052193
fire_100_200,0.12104216540257205
month_5,0.1172151341549178
fire_800_1000,0.11207070649254726
fire_0_100,0.08721152454556222
fire_200_400,0.06346716488132903
Humidity(%),0.033973372967823316
Temperature(C),0.0315596403908404
"time_of_day_[12, 14)",0.031295786668945134
month_4,0.02850475690878579
wind_CALM,0.026403172323390258
Wind_Speed(kmph),0.02308426595660215
"time_of_day_[2, 4)",0.019375792577991723
wind_W,0.01458654725852317
"time_of_day_[16, 18)",0.013952138357420983
wind_S,0.012744659826381663
wind_N,0.01207461317255535
day_of_week,0.010407862781850406
"time_of_day_[22, 24)",0.00837464700214993
"time_of_day_[0, 2)",0.006788284175235602
"time_of_day_[18, 20)",0.006370850629405841
is_holiday,0.006330825667098573
"time_of_day_[10, 12)",0.006138451514832261
is_weekend,0.005814819893685793
"time_of_day_[20, 22)",0.004604626480638206
month_1,0.004490031644779588
wind_E,0.004362167153338205
"time_of_day_[4, 6)",0.0043167583374331495
"time_of_day_[14, 16)",0.003450871161460158
"time_of_day_[8, 10)",0.0021454627550704986
"time_of_day_[6, 8)",0.0006795182665129361
is_rain,0.0006192569324856094
month_12,0.0005151304273130653
month_2,0.0
month_6,0.0
month_9,0.0
