index,importance
fire_400_800,0.2832555133172381
Humidity(%),0.13414796559462572
Temperature(C),0.09931913604357678
Wind_Speed(kmph),0.098965003252343
fire_800_950,0.05360982412655305
fire_200_400,0.05132929050830658
fire_100_200,0.04974085900085741
month_9,0.04051547524891652
wind_E,0.038041576576288455
"time_of_day_[18, 20)",0.03751915888015746
day_of_week,0.028227944923162576
wind_W,0.026612338711458926
wind_S,0.016816563953982146
wind_N,0.010788175406806454
is_weekend,0.00886281384285352
month_2,0.006267396518495994
"time_of_day_[20, 22)",0.003411322550632757
"time_of_day_[8, 10)",0.003165816271752485
fire_0_100,0.002159340955215301
"time_of_day_[22, 24)",0.00190887989700868
"time_of_day_[12, 14)",0.001795949794183713
"time_of_day_[10, 12)",0.0010317676450633173
"time_of_day_[6, 8)",0.0007561126484542612
"time_of_day_[14, 16)",0.000741391978053802
"time_of_day_[0, 2)",0.00038670472922848833
is_rain,0.00031683802655297673
"time_of_day_[4, 6)",0.00024042124017922733
"time_of_day_[2, 4)",6.641835805239348e-05
"time_of_day_[16, 18)",0.0
