index,importance
fire_100_200,0.32753530928188634
is_rain,0.08584501701899083
Wind_Speed(kmph),0.08519315775717776
fire_200_400,0.07480649828675381
wind_E,0.06130784642426245
wind_S,0.05516349227539547
wind_N,0.04959170134101059
Humidity(%),0.04814703762499961
month_1,0.038982397474289686
fire_400_800,0.0374681491961586
fire_800_950,0.028239617253387368
month_11,0.020503832186564923
wind_CALM,0.017666470759052498
"time_of_day_[18, 20)",0.012908811397072504
"time_of_day_[20, 22)",0.008339198909714273
"time_of_day_[8, 10)",0.007503334345069313
wind_W,0.007461124692054065
month_12,0.006222370701653506
Temperature(C),0.005261249751185319
"time_of_day_[12, 14)",0.00463414862325158
"time_of_day_[16, 18)",0.003939112576861658
fire_0_100,0.0023109978885357805
"time_of_day_[6, 8)",0.002237785123184585
"time_of_day_[22, 24)",0.002017185854498413
"time_of_day_[2, 4)",0.001428984432442792
month_10,0.0012326052119667982
day_of_week,0.0010366683012468744
"time_of_day_[0, 2)",0.0007489187267340498
month_5,0.0006856460193111483
is_weekend,0.0006614226284848734
"time_of_day_[14, 16)",0.0004231981697373935
month_3,0.0002019957443714117
month_6,0.000119557653804318
month_4,0.0001179066415607417
is_holiday,3.8031436881123206e-05
month_7,1.9218290447499508e-05
