index,importance
fire_100_200,0.21364687442744773
fire_200_400,0.1120318254514367
fire_400_800,0.07702869065183295
is_rain,0.06859254620409316
fire_0_100,0.06381574318477501
Wind_Speed(kmph),0.06204801839153589
wind_S,0.057509290135934754
wind_N,0.05546677418735876
Humidity(%),0.05462582526468399
wind_E,0.03318539588565702
Temperature(C),0.029910538706413758
wind_W,0.023222132779368364
month_12,0.02286797370577798
month_1,0.01709833927249174
month_11,0.016163921423527978
day_of_week,0.011243162808162592
month_4,0.010699888015695805
month_5,0.009755625219017964
"time_of_day_[20, 22)",0.0059610079788812555
month_2,0.005402610535272959
is_weekend,0.005027515144106726
"time_of_day_[18, 20)",0.0050082325015372315
is_holiday,0.00449713198886473
"time_of_day_[10, 12)",0.0041682126144407606
"time_of_day_[12, 14)",0.004032759505594044
month_6,0.003409676688065069
month_3,0.0029055983643484153
"time_of_day_[4, 6)",0.002672617557526546
"time_of_day_[16, 18)",0.002643558954897998
month_10,0.002269911082335425
"time_of_day_[22, 24)",0.0021632531981196526
"time_of_day_[8, 10)",0.0021190340459180147
"time_of_day_[2, 4)",0.0020527968302672937
"time_of_day_[6, 8)",0.0018904944355101758
"time_of_day_[14, 16)",0.001664363148477708
month_9,0.0014127704225648195
month_7,0.0011685265214361861
month_8,0.0006173627666227656
