index,importance
fire_400_800,0.266664221595876
fire_200_400,0.20932305557310524
fire_100_200,0.1601526791157991
fire_800_1000,0.11316679898656377
fire_0_100,0.08236474871139449
Humidity(%),0.04117502895776521
Temperature(C),0.02280084069171106
month_3,0.011136010635446399
"time_of_day_[10, 12)",0.007956319999496904
month_10,0.007239580928536659
day_of_week,0.007042369444508267
Wind_Speed(kmph),0.006060162477371183
month_5,0.005615565916697441
month_12,0.004891169173658435
month_8,0.004513698427458878
"time_of_day_[12, 14)",0.0043135552389830896
month_4,0.003876263385302325
"time_of_day_[16, 18)",0.0038061769098341317
wind_E,0.0036512823921977396
"time_of_day_[8, 10)",0.0031823030882676944
month_2,0.0029946125571301196
wind_N,0.002977115144681037
"time_of_day_[14, 16)",0.0027074970225326503
wind_W,0.002670539022130282
month_9,0.0025401493768073915
month_11,0.0023390767576223666
wind_S,0.002294671155881701
"time_of_day_[6, 8)",0.001944068978697725
"time_of_day_[20, 22)",0.0019075181235599576
"time_of_day_[0, 2)",0.0016897824313655166
month_6,0.0015095166445689202
is_weekend,0.0010924312165836335
"time_of_day_[2, 4)",0.0009830266433798957
"time_of_day_[4, 6)",0.0008835985313527744
"time_of_day_[22, 24)",0.0008228853020391682
is_rain,0.0007483218934534589
is_holiday,0.0006718621593924162
month_7,0.0002914953888469556
