index,importance
fire_400_800,0.2995248858251792
Humidity(%),0.22736260305756656
fire_200_400,0.17445662633161677
fire_800_900,0.15910120954574297
wind_N,0.03623493799695148
month_2,0.025846978524084713
fire_0_100,0.021794325680037866
fire_100_200,0.018988345006133604
wind_W,0.01707308559612227
day_of_week,0.007833900806902327
is_weekend,0.003337816658185778
month_1,0.0026992487500826536
Wind_Speed(kmph),0.002434299780531364
wind_E,0.0012192104171832056
wind_S,0.0010593329621905463
"time_of_day_[20, 22)",0.0004685360079394064
month_9,0.0002721437597822295
"time_of_day_[16, 18)",0.00014948718585308047
Temperature(C),0.0001430261079139479
is_holiday,0.0
"time_of_day_[4, 6)",0.0
wind_CALM,0.0
"time_of_day_[6, 8)",0.0
"time_of_day_[18, 20)",0.0
"time_of_day_[22, 24)",0.0
"time_of_day_[2, 4)",0.0
is_rain,0.0
"time_of_day_[14, 16)",0.0
"time_of_day_[12, 14)",0.0
"time_of_day_[10, 12)",0.0
