test_r2_score,test_r2,test_mean_squared_error,test_mean_absolute_error,test_mean_absolute_percentage_error,test_median_absolute_error,avg_test_r2_score,avg_test_r2,avg_test_mean_squared_error,avg_test_mean_absolute_error,avg_test_mean_absolute_percentage_error,avg_test_median_absolute_error,province,imputation,data_size
0.494,0.7514,79.5384,6.7735,51.5347,5.3075,0.5744,0.809,56.9979,5.9146,42.267,4.8017,Rayong,imputed,95103.0
0.6281,0.8153,135.9884,8.1066,32.5331,5.3604,0.71,0.8733,83.5082,6.4655,24.19,4.4943,Khon Kaen,imputed,63616.0
-0.1991,0.3091,79.7468,6.849,54.6659,6.1894,-0.377,0.2887,54.0411,6.0013,43.7055,5.607,Songkhla,imputed,87156.0
0.5511,0.75,194.8324,9.7031,50.9026,7.1199,0.6807,0.847,107.3318,7.3526,32.1739,5.4777,Samut Sakhon,imputed,94807.0
0.6208,0.7908,298.151,8.9773,38.3776,4.8349,0.6948,0.8367,205.6354,7.8265,30.19,4.2733,Nan,imputed,61621.0
0.5737,0.7625,100.0846,6.5837,86.5986,4.249,0.6915,0.8363,57.40600000000001,5.2578,48.0844,3.696,Sa Kaeo,imputed,19313.0
0.5652,0.8124,167.6383,9.2957,71.0897,6.7246,0.6235,0.8564,119.8532,7.7959,52.0735,5.5714,Ratchaburi,imputed,63788.0
0.5106,0.805,94.0601,7.7435,78.8074,6.5988,0.5619,0.8527,70.2948,6.9094,57.3959,5.9018,Chon Buri,imputed,57869.0
-0.0268,0.7249,345.398,15.3321,80.6112,13.72,-0.0028,0.8175,255.4004,13.6967,62.801,12.5326,Saraburi,imputed,102086.0
0.5468,0.7401,101.4833,7.3146,31.5272,5.4032,0.6304,0.7948,66.8444,5.8987,23.9523,3.9571,Bangkok,imputed,96014.0
0.6687,0.8435,238.4836,9.3154,38.2913,5.8083,0.7401,0.8913,164.3893,8.1591,31.6583,5.0935,Chiang Mai,imputed,104687.0
