latitude,longitude,confidence,lat_km,long_km,distance,power,count,country,coor
10.4751,105.2181,47,1165,11713,1178.108653732753,106.256,1,Vietnam,"(11713, 1165)"
13.3264,107.7491,78,1487,11995,1161.6694882796914,63.856,1,Vietnam,"(11995, 1487)"
13.3376,107.7471,67,1488,11994,1160.2870334533607,45.76000000000001,1,Vietnam,"(11994, 1488)"
13.3633,107.8344,79,1491,12004,1167.0908276565285,65.104,1,Vietnam,"(12004, 1491)"
13.3657,107.84899999999999,81,1492,12006,1168.2439813669064,72.768,1,Vietnam,"(12006, 1492)"
13.8049,106.0573,76,1542,11806,974.6763565409802,117.964,1,Cambodia,"(11806, 1542)"
13.9538,106.0783,67,1559,11809,967.1938792196734,72.618,1,Laos,"(11809, 1559)"
14.1033,104.5671,44,1576,11640,823.6030597320532,93.632,1,Cambodia,"(11640, 1576)"
14.1868,105.1487,59,1585,11705,868.1128958839398,78.0,1,Cambodia,"(11705, 1585)"
14.3483,104.9404,24,1604,11682,838.2946975855209,80.34000000000002,1,Cambodia,"(11682, 1604)"
13.1101,107.4844,65,1463,11965,1150.057389872349,51.935,1,Cambodia,"(11965, 1463)"
24.4988,105.9271,67,2797,11792,1029.5285328731786,20.496,1,China,"(11792, 2797)"
25.2825,105.7607,21,2892,11773,1081.2682368404244,5.88,1,China,"(11773, 2892)"
25.134,103.7716,58,2874,11552,925.817476611886,21.241999999999997,1,China,"(11552, 2874)"
24.6418,104.5654,78,2814,11640,933.5148632989192,75.14,1,China,"(11640, 2814)"
24.3082,106.0198,80,2773,11802,1021.4817668465747,46.2,1,China,"(11802, 2773)"
24.6447,104.5818,50,2814,11642,934.8465114659198,19.006,1,China,"(11642, 2814)"
24.2532,106.04899999999999,88,2767,11805,1019.9490183337596,87.86399999999998,1,China,"(11805, 2767)"
24.1874,105.9781,59,2759,11797,1008.6862743192256,12.6,1,China,"(11797, 2759)"
24.2028,106.0047,34,2761,11800,1012.2731844714647,9.576,1,China,"(11800, 2761)"
24.2618,104.9636,59,2768,11684,930.6051794397019,24.336,1,China,"(11684, 2768)"
24.2074,106.1547,62,2761,11817,1025.4462443248792,15.96,1,China,"(11817, 2761)"
24.2509,106.0359,85,2766,11804,1018.5411135540872,67.536,1,China,"(11804, 2766)"
23.9415,105.0514,70,2729,11694,911.1361039932507,37.648,1,China,"(11694, 2729)"
20.2635,94.6197,77,2289,10533,515.5385533594941,295.568,1,Myanmar,"(10533, 2289)"
20.2631,94.6247,50,2289,10534,514.5959580097768,188.384,1,Myanmar,"(10534, 2289)"
20.2781,94.6181,90,2291,10533,516.2092598936987,793.4399999999997,1,Myanmar,"(10533, 2291)"
16.9894,103.3385,95,1907,11504,528.5120623032175,15.2,1,Thailand,"(11504, 1907)"
16.9908,103.3479,77,1907,11505,529.4298820429387,8.7,1,Thailand,"(11505, 1907)"
17.9242,103.2414,73,2016,11493,484.6411043236016,7.7,1,Thailand,"(11493, 2016)"
17.9256,103.2508,62,2016,11494,485.6191923719655,5.6,1,Thailand,"(11494, 2016)"
26.5766,101.6641,100,3052,11317,981.3404098476736,51.8,1,China,"(11317, 3052)"
26.2596,102.6152,56,3012,11423,981.9577383981452,7.3,1,China,"(11423, 3012)"
26.2583,102.6054,64,3012,11422,981.5467385713223,8.3,1,China,"(11422, 3012)"
22.0989,104.6919,61,2507,11654,745.2013150820387,6.864000000000001,1,Vietnam,"(11654, 2507)"
22.8432,103.6441,73,2596,11538,706.2591592326431,20.163,1,China,"(11538, 2596)"
23.9731,107.6937,65,2733,11988,1148.2234103169992,44.5,1,China,"(11988, 2733)"
23.9716,107.7034,49,2733,11989,1149.0674479768365,13.8,1,China,"(11989, 2733)"
