x,y
12018926.400324948,2116517.977267514
12016953.128753219,2179308.4967968273
12011041.101639425,2241851.210831818
12001213.651053637,2303899.291853239
11987509.561453579,2365207.864432369
11969982.916620102,2425534.9716424616
11948702.8862132,2484642.5299521917
11923753.452790968,2542297.2688325867
11895233.080368811,2598271.6513692294
11863254.325826963,2652344.7722465107
11827943.394699896,2704303.229559987
11789439.643100737,2753941.967016204
11747895.027746359,2801065.0831962028
11703473.506253637,2845486.6046889257
11656350.390073638,2887031.2200433034
11606711.652617421,2925534.9716424616
11554753.195303945,2960845.9027695293
11500680.074426664,2992824.6573113776
11444705.69189002,3021345.0297335335
11387050.953009626,3046294.4631557656
11327943.394699896,3067574.4935626676
11267616.287489804,3085101.138396145
11206307.714910673,3098805.2279962027
11144259.633889252,3108632.6785819917
11081716.919854261,3114544.7056957856
11018926.400324948,3116517.977267514
10956135.880795635,3114544.7056957856
10893593.166760644,3108632.6785819917
10831545.085739223,3098805.2279962027
10770236.513160093,3085101.138396145
10709909.40595,3067574.4935626676
10650801.84764027,3046294.4631557656
10593147.108759876,3021345.0297335335
10537172.726223232,2992824.6573113776
10483099.605345951,2960845.902769529
10431141.148032475,2925534.9716424616
10381502.410576258,2887031.2200433034
10334379.294396259,2845486.6046889257
10289957.772903536,2801065.0831962023
10248413.15754916,2753941.9670162033
10209909.40595,2704303.2295599873
10174598.474822933,2652344.7722465107
10142619.720281085,2598271.651369229
10114099.347858928,2542297.2688325867
10089149.914436696,2484642.5299521917
10067869.884029794,2425534.971642461
10050343.239196317,2365207.864432369
10036639.149596259,2303899.2918532384
10026811.69901047,2241851.210831818
10020899.671896677,2179308.4967968273
10018926.400324948,2116517.9772675135
10020899.671896677,2053727.4577382007
10026811.69901047,1991184.7437032098
10036639.149596259,1929136.6626817891
10050343.239196317,1867828.090102659
10067869.884029794,1807500.9828925664
10089149.914436696,1748393.4245828358
10114099.347858928,1690738.6857024413
10142619.720281085,1634764.3031657985
10174598.474822933,1580691.1822885172
10209909.40595,1528732.7249750406
10248413.15754916,1479093.9875188242
10289957.772903537,1431970.8713388252
10334379.294396259,1387549.3498461023
10381502.410576258,1346004.7344917245
10431141.148032475,1307500.9828925666
10483099.605345951,1272190.0517654987
10537172.726223232,1240211.2972236504
10593147.108759876,1211690.9248014942
10650801.84764027,1186741.4913792624
10709909.40595,1165461.4609723603
10770236.513160095,1147934.8161388827
10831545.085739223,1134230.7265388253
10893593.166760644,1124403.2759530363
10956135.880795635,1118491.2488392424
11018926.400324948,1116517.977267514
11081716.919854261,1118491.2488392424
11144259.633889252,1124403.2759530363
11206307.714910673,1134230.7265388253
11267616.287489804,1147934.816138883
11327943.394699896,1165461.4609723603
11387050.953009626,1186741.4913792629
11444705.69189002,1211690.9248014945
11500680.074426664,1240211.2972236506
11554753.195303945,1272190.0517654992
11606711.652617421,1307500.9828925668
11656350.390073638,1346004.734491725
11703473.506253637,1387549.3498461023
11747895.02774636,1431970.8713388257
11789439.643100737,1479093.9875188244
11827943.394699896,1528732.7249750413
11863254.325826963,1580691.1822885177
11895233.080368811,1634764.3031657985
11923753.452790968,1690738.6857024417
11948702.8862132,1748393.4245828362
11969982.916620102,1807500.9828925673
11987509.561453579,1867828.0901026595
12001213.651053637,1929136.6626817894
12011041.101639425,1991184.7437032103
12016953.128753219,2053727.4577382007
12018926.400324948,2116517.9772675144
